Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,Season_Year
1.0,Allen Iverson,25.0,PHI,SG,71.0,71.0,42.0,10.7,25.5,0.42,1.4,4.3,0.32,9.4,21.2,0.441,0.447,8.2,10.1,0.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,"MVP-1,DPOY-11,AS,NBA1",2000-01,2001
2.0,Jerry Stackhouse,26.0,DET,SG,80.0,80.0,40.2,9.7,24.1,0.402,2.1,5.9,0.351,7.6,18.2,0.418,0.445,8.3,10.1,0.822,1.2,2.7,3.9,5.1,1.2,0.7,4.1,2.0,29.8,"MVP-14,AS",2000-01,2001
3.0,Shaquille O'Neal,28.0,LAL,C,74.0,74.0,39.5,11.0,19.2,0.572,0.0,0.0,0.0,11.0,19.2,0.573,0.572,6.7,13.1,0.513,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7,"MVP-3,DPOY-8,AS,NBA1",2000-01,2001
4.0,Kobe Bryant,22.0,LAL,SG,68.0,68.0,40.9,10.3,22.2,0.464,0.9,2.9,0.305,9.4,19.3,0.489,0.484,7.0,8.2,0.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,"MVP-9,DPOY-11,AS,NBA2",2000-01,2001
5.0,Vince Carter,24.0,TOR,SF,75.0,75.0,39.7,10.2,22.1,0.46,2.2,5.3,0.408,8.0,16.8,0.477,0.509,5.1,6.7,0.765,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6,"MVP-11,AS,NBA2",2000-01,2001
6.0,Chris Webber,27.0,SAC,PF,70.0,70.0,40.5,11.2,23.4,0.481,0.0,0.4,0.071,11.2,23.0,0.488,0.481,4.6,6.6,0.703,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1,"MVP-4,AS,NBA1",2000-01,2001
7.0,Tracy McGrady,21.0,ORL,SG,77.0,77.0,40.1,10.2,22.4,0.457,0.8,2.2,0.355,9.5,20.2,0.468,0.474,5.6,7.6,0.733,2.5,5.0,7.5,4.6,1.5,1.5,2.6,2.1,26.8,"MVP-6,MIP-1,AS,NBA2",2000-01,2001
8.0,Paul Pierce,23.0,BOS,SF,82.0,82.0,38.0,8.4,18.5,0.454,1.8,4.7,0.383,6.6,13.8,0.478,0.503,6.7,9.0,0.745,1.1,5.2,6.4,3.1,1.7,0.8,3.2,3.1,25.3,MVP-13,2000-01,2001
9.0,Antawn Jamison,24.0,GSW,SF,82.0,82.0,41.4,9.8,22.1,0.442,0.8,2.5,0.302,9.0,19.6,0.459,0.459,4.7,6.5,0.715,3.4,5.3,8.7,2.0,1.4,0.3,2.4,2.7,24.9,,2000-01,2001
10.0,Stephon Marbury,23.0,NJN,PG,67.0,67.0,38.2,8.4,19.1,0.441,1.6,5.0,0.328,6.8,14.1,0.481,0.484,5.4,6.8,0.79,0.8,2.3,3.1,7.6,1.2,0.1,2.9,2.2,23.9,AS,2000-01,2001
11.0,Antoine Walker,24.0,BOS,PF,81.0,81.0,41.9,8.8,21.2,0.413,2.7,7.4,0.367,6.0,13.8,0.439,0.478,3.1,4.3,0.716,1.9,7.0,8.9,5.5,1.7,0.6,3.7,3.1,23.4,,2000-01,2001
12.0,Karl Malone,37.0,UTA,PF,81.0,81.0,35.7,8.3,16.6,0.498,0.0,0.1,0.4,8.2,16.5,0.499,0.499,6.6,8.3,0.793,1.4,6.9,8.3,4.5,1.1,0.8,3.0,2.7,23.2,"MVP-7,AS,NBA3",2000-01,2001
13.0,Gary Payton,32.0,SEA,PG,79.0,79.0,41.1,9.2,20.1,0.456,1.3,3.4,0.375,7.9,16.7,0.472,0.488,3.4,4.5,0.766,0.9,3.6,4.6,8.1,1.6,0.3,2.6,2.3,23.1,"AS,NBA3",2000-01,2001
14.0,Tim Duncan,24.0,SAS,PF,82.0,82.0,38.7,8.6,17.1,0.499,0.1,0.3,0.259,8.5,16.8,0.504,0.502,5.0,8.1,0.618,3.2,9.0,12.2,3.0,0.9,2.3,3.0,3.0,22.2,"MVP-2,DPOY-3,AS,NBA1",2000-01,2001
15.0,Ray Allen,25.0,MIL,SG,82.0,82.0,38.2,7.7,16.0,0.48,2.5,5.7,0.433,5.2,10.3,0.506,0.557,4.2,4.8,0.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0,"MVP-11,AS,NBA3",2000-01,2001
16.0,Kevin Garnett,24.0,MIN,PF,81.0,81.0,39.5,8.7,18.2,0.477,0.2,0.8,0.288,8.5,17.4,0.486,0.484,4.4,5.8,0.764,2.7,8.7,11.4,5.0,1.4,1.8,2.8,2.5,22.0,"MVP-5,DPOY-2,AS,NBA2",2000-01,2001
17.0,Glenn Robinson,28.0,MIL,SF,76.0,74.0,37.0,9.0,19.2,0.468,0.7,2.4,0.299,8.3,16.8,0.493,0.487,3.3,4.0,0.82,1.6,5.3,6.9,3.3,1.1,0.8,2.9,2.5,22.0,AS,2000-01,2001
18.0,Dirk Nowitzki,22.0,DAL,PF,82.0,82.0,38.1,7.2,15.2,0.474,1.8,4.8,0.387,5.4,10.5,0.513,0.534,5.5,6.6,0.838,1.5,7.7,9.2,2.1,1.0,1.2,1.9,3.0,21.8,NBA3,2000-01,2001
19.0,Michael Finley,27.0,DAL,SF,82.0,82.0,42.0,8.7,18.9,0.458,1.1,3.2,0.346,7.6,15.7,0.481,0.487,3.1,4.0,0.775,1.3,3.9,5.2,4.4,1.4,0.4,2.3,2.1,21.5,"MVP-15,AS",2000-01,2001
