Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,Season_Year
1.0,Michael Jordan,29.0,CHI,SG,78.0,78.0,39.3,12.7,25.7,0.495,1.0,2.9,0.352,11.7,22.7,0.514,0.515,6.1,7.3,0.837,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,32.6,"MVP-3,DPOY-2,AS,NBA1",1992-93,1993
2.0,Dominique Wilkins,33.0,ATL,SF,71.0,70.0,37.3,10.4,22.3,0.468,1.7,4.5,0.38,8.7,17.9,0.49,0.506,7.3,8.8,0.828,2.6,4.2,6.8,3.2,1.0,0.4,2.6,1.6,29.9,"MVP-5,AS,NBA2",1992-93,1993
3.0,Karl Malone,29.0,UTA,PF,82.0,82.0,37.8,9.7,17.6,0.552,0.0,0.2,0.2,9.7,17.4,0.557,0.554,7.5,10.2,0.74,2.8,8.4,11.2,3.8,1.5,1.0,2.9,3.2,27.0,"MVP-8,AS,NBA1",1992-93,1993
4.0,Hakeem Olajuwon,30.0,HOU,C,82.0,82.0,39.5,10.3,19.5,0.529,0.0,0.1,0.0,10.3,19.5,0.532,0.529,5.4,7.0,0.779,3.5,9.6,13.0,3.5,1.8,4.2,3.2,3.7,26.1,"MVP-2,DPOY-1,AS,NBA1",1992-93,1993
5.0,Chris Mullin,29.0,GSW,SF,46.0,46.0,41.3,10.3,20.2,0.51,1.3,2.9,0.451,9.0,17.3,0.519,0.542,4.0,4.9,0.81,0.9,4.1,5.0,3.6,1.5,0.9,3.0,1.7,25.9,AS,1992-93,1993
6.0,Charles Barkley,29.0,PHO,PF,76.0,76.0,37.6,9.4,18.1,0.52,0.9,2.9,0.305,8.5,15.2,0.561,0.545,5.9,7.7,0.765,3.1,9.1,12.2,5.1,1.6,1.0,3.1,2.6,25.6,"MVP-1,AS,NBA1",1992-93,1993
7.0,Patrick Ewing,30.0,NYK,C,81.0,81.0,37.1,9.6,19.1,0.503,0.0,0.1,0.143,9.6,19.0,0.504,0.503,4.9,6.9,0.719,2.4,9.7,12.1,1.9,0.9,2.0,3.3,3.5,24.2,"MVP-4,DPOY-5,AS,NBA2",1992-93,1993
8.0,Joe Dumars,29.0,DET,SG,77.0,77.0,40.2,8.8,18.9,0.466,1.5,3.9,0.375,7.3,15.0,0.489,0.504,4.5,5.2,0.864,0.8,1.1,1.9,4.0,1.0,0.1,1.8,1.8,23.5,"MVP-10,AS,NBA2",1992-93,1993
9.0,Shaquille O'Neal,20.0,ORL,C,81.0,81.0,37.9,9.0,16.1,0.562,0.0,0.0,0.0,9.0,16.1,0.563,0.562,5.3,8.9,0.592,4.2,9.6,13.9,1.9,0.7,3.5,3.8,4.0,23.4,"MVP-7,ROY-1,AS",1992-93,1993
10.0,David Robinson,27.0,SAS,C,82.0,82.0,39.2,8.2,16.4,0.501,0.0,0.2,0.176,8.2,16.2,0.506,0.503,6.8,9.3,0.732,2.8,8.9,11.7,3.7,1.5,3.2,2.9,2.9,23.4,"MVP-6,DPOY-2,AS,NBA3",1992-93,1993
11.0,Danny Manning,26.0,LAC,PF,79.0,77.0,34.9,8.9,17.5,0.509,0.1,0.4,0.267,8.8,17.1,0.514,0.512,4.9,6.1,0.802,2.5,4.1,6.6,2.6,1.4,1.3,2.9,4.1,22.8,AS,1992-93,1993
